t,Q_phi,Q_sd,Q_mu,Q_zero,Q_rho,grad_phi,grad_sd,grad_mu,grad_zero,grad_rho
45,-642.050605,-718.228629,-940.768392,-891.808744,-659.732399,1248.782213,-95.612731,-270.944451,-221.816381,-56.585121
46,-620.653399,-693.983257,-962.523435,-914.034925,-628.290265,1234.943828,-95.801412,-274.977270,-225.082965,-57.230744
47,-628.872461,-697.620373,-963.956327,-942.634056,-641.999340,1220.799124,-95.978179,-278.997116,-228.339039,-57.860234
48,-604.523922,-712.430420,-936.998453,-938.232210,-647.283525,1206.348126,-96.144013,-283.007284,-231.587276,-58.474362
49,-604.117032,-699.595640,-998.939001,-937.532646,-631.431486,1191.590861,-96.299797,-287.011026,-234.830307,-59.073820
50,-623.501286,-696.088727,-998.164670,-956.076110,-643.474202,1176.527352,-96.446328,-291.011561,-238.070740,-59.659227
51,nan,-728.724656,-1009.333765,-942.818360,-677.709656,1161.157624,-96.584324,-295.012093,-241.311171,-60.231136
52,-600.540344,-720.476058,-1004.573980,-968.441992,-656.377809,1145.481704,-96.714435,-299.015826,-244.554194,-60.790036
53,-624.164278,-714.007114,-1028.823551,-988.209320,-656.550911,1129.499616,-96.837252,-303.025978,-247.802418,-61.336361
54,-623.002449,-706.903371,-1028.365672,-972.591897,-677.545238,1113.211384,-96.953308,-307.045801,-251.058474,-61.870489
55,-612.967739,-722.578843,-1035.931638,-1000.297428,-663.959727,1096.617035,-97.063092,-311.078590,-254.325034,-62.392747
56,-614.338921,-738.478032,-1045.199530,-1009.273477,-651.847050,1079.716593,-97.167046,-315.127709,-257.604820,-62.903414
57,-610.117183,-724.725532,-1071.643163,-1024.291211,-673.109563,1062.510082,-97.265578,-319.196597,-260.900619,-63.402724
58,-593.703933,-725.080785,-1075.861125,-1022.072945,-660.728659,1044.997530,-97.359057,-323.288795,-264.215300,-63.890863
59,-594.134427,-743.810703,-1109.066910,-1049.295865,-675.239862,1027.178959,-97.447824,-327.407965,-267.551827,-64.367975
60,-600.440761,-721.461350,-1113.763724,-1061.308852,-658.384180,1009.054396,-97.532189,-331.557905,-270.913279,-64.834163
61,-609.697508,-716.784975,-1126.082358,-1053.309955,-666.437928,990.623865,-97.612439,-335.742580,-274.302865,-65.289484
62,-588.298797,-729.424179,-1124.426402,-1051.138163,-680.664518,971.887392,-97.688837,-339.966139,-277.723949,-65.733956
63,-613.545864,-717.919081,-1142.657237,-1076.272025,-687.417200,952.845001,-97.761626,-344.232953,-281.180067,-66.167550
64,-610.175986,-728.321906,-1181.777239,-1109.497755,-676.534711,933.496718,-97.831030,-348.547636,-284.674960,-66.590195
65,-617.472595,-747.331385,-1176.273950,-1106.869642,-692.884194,913.842567,-97.897255,-352.915087,-288.212596,-67.001776
66,-579.354591,-734.720542,-1188.430703,-1110.818816,-709.633133,893.882575,-97.960493,-357.340527,-291.797202,-67.402129
67,-607.844194,-730.251944,-1197.386927,-1146.303561,-668.671629,873.616765,-98.020920,-361.829544,-295.433307,-67.791040
68,-590.213981,-722.828101,-1224.008911,-1139.254655,-692.329805,853.045162,-98.078701,-366.388146,-299.125774,-68.168242
69,-619.941623,-737.319725,-1237.629548,-1150.314725,-698.750003,832.167793,-98.133988,-371.022816,-302.879857,-68.533412
70,-598.543934,-728.230015,-1254.550058,-1175.426317,-694.660209,810.984682,-98.186923,-375.740585,-306.701250,-68.886165
71,-608.140248,-720.887425,-1221.524379,-1197.073993,-699.357923,789.495854,-98.237636,-380.549109,-310.596154,-69.226049
72,-602.787989,-738.100185,-1296.540023,-1217.528484,-709.613702,767.701334,-98.286252,-385.456762,-314.571353,-69.552540
73,-599.182645,-739.392476,-1313.981726,-1208.270482,-739.684047,745.601147,-98.332883,-390.472745,-318.634299,-69.865030
74,-591.419263,-743.938945,-1332.334533,-inf,-711.094240,723.195318,-98.377636,-395.607219,-322.793223,-70.162819
75,-595.660366,-737.305704,-1363.019283,-inf,-729.108302,700.483872,-98.420611,-400.871457,-327.057256,-70.445107
76,-603.570311,-748.264870,-1342.007173,-inf,-710.365020,677.466835,-98.461901,-406.278030,-331.436580,-70.710974
77,-604.465986,-738.671970,-1381.818709,-inf,-720.890227,654.144232,-98.501593,-411.841035,-335.942614,-70.959369
78,-586.894866,-748.372700,-1404.019382,-inf,-719.443217,630.516086,-98.539768,-417.576371,-340.588236,-71.189083
79,-595.588624,-752.826501,-1440.264245,-inf,-741.757062,606.582424,-98.576502,-423.502075,-345.388057,-71.398732
80,-607.722481,-767.310321,-1459.934147,-inf,-695.655784,582.343271,-98.611868,-429.638748,-350.358761,-71.586717
81,-597.471884,-749.989948,-1494.436055,-inf,-757.867703,557.798652,-98.645931,-436.010081,-355.519541,-71.751196
82,-596.594964,-748.469193,-1512.649544,-inf,-748.969968,532.948591,-98.678756,-442.643535,-360.892639,-71.890025
83,-593.460199,-749.430005,-1500.938494,-inf,-742.885733,507.793114,-98.710402,-449.571201,-366.504048,-72.000707
84,-588.472506,-758.703549,-1559.674144,-inf,-758.599604,482.332246,-98.740925,-456.830929,-372.384428,-72.080309
85,-611.570741,-749.467341,-1596.763905,-inf,-777.581585,456.566011,-98.770376,-464.467824,-378.570313,-72.125362
86,-592.138633,-734.527682,-1604.419856,-inf,-771.138118,430.494436,-98.798806,-472.536253,-385.105740,-72.131730
87,-594.494872,-770.669403,-1674.497354,-inf,-791.314893,404.117545,-98.826261,-481.102596,-392.044478,-72.094429
88,-598.969864,-759.360886,-1706.447954,-inf,-776.647456,377.435362,-98.852786,-490.249108,-399.453153,-72.007389
89,-597.794423,-747.440988,-1776.030483,-inf,-777.201663,350.447914,-98.878421,-500.079457,-407.415736,-71.863110
90,-603.887382,-753.351839,-1812.355189,-inf,-780.971593,323.155225,-98.903207,-510.726908,-416.040171,-71.652183
91,-603.146946,-774.258717,-1879.722202,-inf,-794.883899,295.557320,-98.927180,-522.366845,-425.468520,-71.362569
92,-580.837647,-769.483161,-1937.460268,-inf,-804.295534,267.654225,-98.950376,-535.236679,-435.893085,-70.978505
93,-587.865607,-755.056505,-2048.471746,-inf,-818.889900,239.445964,-98.972827,-549.669136,-447.583376,-70.478756
94,-601.878227,-756.012615,-2073.226976,-inf,-818.193815,210.932562,-98.994566,-566.151363,-460.933980,-69.833652
95,-603.984543,-749.094002,-2183.063892,-inf,-863.175867,182.114045,-99.015622,-585.438409,-476.556487,-68.999744
96,-582.615890,-772.946634,-2330.051930,-inf,-859.423321,152.990438,-99.036023,-608.794906,-495.475249,-67.909183
97,-584.955200,-763.609446,-2488.579958,-inf,-893.455827,123.561765,-99.055797,-638.591072,-519.610144,-66.445715
98,-606.345949,-781.606938,-2706.184215,-inf,-911.630341,93.828052,-99.074968,-680.146583,-553.270108,-64.378504
99,-603.092618,-774.271550,-3185.512853,-inf,-942.055225,63.789323,-99.093561,-750.426586,-610.196910,-61.100004
