"","RE","CC","OC","L","CI","A"
"54",0.00028575715285996,0.0204022701258149,0.00397693249610553,0.00155719156181301,0.00194700175085198,0.000889422720548162
"55",0.000357209840966544,0.0207226371940552,0.00362819918183202,0.00166854495469949,0.00228128826060924,0.00127888134208165
"56",0.000428667890906961,0.0198821058278092,0.00374441720706809,0.00133453501611042,0.00244848816141927,0.00189130200994376
"57",0.000428667890906961,0.0191627595962634,0.00374441720706809,0.00172422793372373,0.00283876826085525,0.00172422793372373
"58",0.000500131303619509,0.0168915451264476,0.00362819918183202,0.00172422793372373,0.00300609420758244,0.00205841381033769
"59",0.00064307422111958,0.0176076718741356,0.00409322978793045,0.00155719156181301,0.00311766586918092,0.00177991510211534
"60",0.00064307422111958,0.0175678605089303,0.00382191056090916,0.00144585491757542,0.0031734580113348,0.00155719156181301
"61",0.00064307422111958,0.0175678605089303,0.00382191056090916,0.00166854495469949,0.00339666867293303,0.00122323185154372
"62",0.00064307422111958,0.0159779632118298,0.00370567493177116,0.00172422793372373,0.00389913910791338,0.00105630847353834
"63",0.00064307422111958,0.0166133242579451,0.00347328287006582,0.00177991510211534,0.0041225689423542,0.00166854495469949
"64",0.000714553727785918,0.0171699186977664,0.00603542287625398,0.00166854495469949,0.00512883967937583,0.00200270568407139
"65",0.00100052542916293,0.0178864390094281,0.00436469302183354,0.0031734580113348,0.00591244302701065,0.00345248186528381
"66",0.00107203177788831,0.0204823428780693,0.00475274780344772,0.0031734580113348,0.00692115592386146,0.00239275066318786
"67",0.00207368506839556,0.0218053765140243,0.00494688570314231,0.00406670515383542,0.00798740543181076,0.00529668474139797
"68",0.0012865830552365,0.0250271815614235,0.00545198960092931,0.00484918259154248,0.00995559110974092,0.00177991510211534
"69",0.0012865830552365,0.0303069203155951,0.00576307110007198,0.00423430918367397,0.00973038963778415,0.00222556335478667
"70",0.00114354349784764,0.0243811737921306,0.00552974222202283,0.00624852761915632,0.0105752500310737,0.0023370173631639
"71",0.00107203177788831,0.0245022372692642,0.00568528296739009,0.00596844650856977,0.0125503650746646,0.00239275066318786
"72",0.00100052542916293,0.0217652336884806,0.00537424880862793,0.00686508016053559,0.00736991540526372,0.00261572585273706
"73",0.00100052542916293,0.0225284930524246,0.00568528296739009,0.0070333202272156,0.00922393760504267,0.00194700175085198
"74",0.00114354349784764,0.0234539838163224,0.00591868290646946,0.00613648243135787,0.00787509609023123,0.00155719156181301
"75",0.00100052542916293,0.0219659796996235,0.00525765978997809,0.00423430918367397,0.00720159863532688,0.00183560646061003
"76",0.00150118269912371,0.0236151119818176,0.00483039411634839,0.00311766586918092,0.00462553308144844,0.00216984264495851
"77",0.000786038600983284,0.0212035685144008,0.00525765978997809,0.00295031468665706,0.00445784034428866,0.00177991510211534
"78",0.000714553727785918,0.0206825802151404,0.00498572213214938,0.00228128826060924,0.00322925436204614,0.00122323185154372
"79",0.000571600080044072,0.0175678605089303,0.00459749054674838,0.00205841381033769,0.00250422985859558,0.000833802493913134
"80",0.000571600080044072,0.0183248116642734,0.00541311772644202,0.00161286616430766,0.00216984264495851,0.000277829876307312
"81",0.000500131303619509,0.0182450793345666,0.00455868359809144,0.00300609420758244,0.00144585491757542,0.000611363356320332
"82",0.000500131303619509,0.0166530607545574,0.00420955352999464,0.00127888134208165,0.00133453501611042,0.000722574572790988
"83",0.000500131303619509,0.0170108293758779,0.0078678421620784,0.00445784034428866,0.00116758654376288,0.000222255563335525
"84",0.000428667890906961,0.023977838461153,0.00455868359809144,0.00339666867293303,0.00172422793372373,-5.55534723437982e-05
"85",0.000500131303619509,0.0123399836933699,0.00378316241660796,0.00127888134208165,0.00116758654376288,0.000611363356320332
"86",0.000500131303619509,0.0133654710638683,0.00366693559019859,0.000555764010500158,0.00150152114648034,0.000333408359594303
"87",0.000571600080044072,0.0149868011598488,0.00420955352999464,0.000500168838648563,0.00166854495469949,0.000555764010500158
"88",0.000786038600983284,0.0143930312561733,0.00455868359809144,0.00111194541800542,0.00189130200994376,0.000778186444904498
"89",0.000857528841651562,0.0156605807523876,0.00560750667610888,0.00111194541800542,0.00205841381033769,0.000444577840034278
"90",0.00114354349784764,0.0145513020415466,0.00564639334183723,0.000945047125542578,0.0023370173631639,0.000555764010500158
"91",0.00157272666627049,0.0152641315355727,0.00576307110007198,0.00150152114648034,0.00255997575545545,0.000611363356320332
"92",0.0027181621676415,0.0168915451264476,0.00700929509396896,0.00183560646061003,0.00361994671888392,0.000555764010500158
