"","RE","CC","OC","L","CI","A"
"1",0.00157272666627049,0.00736034434186956,0.00196530110366902,0.00189130200994376,0.00714550157120556,0.0147007896918278
"2",0.00171583073499911,0.00876696153082629,0.00219700939246256,0.00417843695205243,0.00675294140681324,0.0152110223463896
"3",0.00178739083846738,0.0103736828719594,0.00258342301788117,0.00580044879844138,0.00787509609023123,0.0166870190356564
"4",0.00243167401278483,0.0113165594143554,0.0028154112603476,0.00423430918367397,0.00809973186549061,0.0351006946881016
"5",0.00207368506839556,0.0122217911695582,0.00289276404372861,0.00306187793484335,0.00815590149376488,0.0189635860691628
"6",0.00278979768637523,0.0124187939678337,0.00308619716143061,0.00406670515383542,0.00821207539734124,0.0213616010427901
"7",0.00314805620753906,0.0132865139531278,0.00304750468905631,0.00401084558575151,0.00877404974187337,0.0181090466244253
"8",0.00329139739987129,0.0132470399958121,0.00304750468905631,0.0042901856379634,0.00826825357697884,0.028083443447048
"9",0.0032197241039086,0.0134839297285853,0.0028540861908606,0.00546456793510039,0.00708940876875354,0.0164029433457428
"10",0.00293308490649759,0.0130102605897094,0.00297012851859005,0.00440195121752578,0.00669687841490882,0.00821207539734124
"11",0.0032197241039086,0.0123005831342663,0.00293144481946659,0.0041225689423542,0.00619250290082881,0.0063045565870929
"12",0.00336307609637622,0.0124976164543182,0.00308619716143061,0.00434606631566581,0.00641662727480168,0.0106316084938116
"13",0.00314805620753906,0.0123793873043752,0.00289276404372861,0.00261572585273706,0.0065847651972432,0.00445784034428866
"14",0.00458244114109346,0.012615873091245,0.00289276404372861,0.003340859692104,0.0075382705574382,0.00211412613038784
"15",0.00307639370981296,0.0124582036842974,0.00312489255925351,0.00155719156181301,0.0057444580499302,0.00283876826085525
"16",0.00278979768637523,0.0121430114058411,0.00289276404372861,0.00244848816141927,0.00524073215153514,0.00205841381033769
"17",0.00314805620753906,0.0121823997628513,0.00347328287006582,0.00283876826085525,0.00512883967937583,0.0023370173631639
"18",0.0032197241039086,0.0123005831342663,0.00320229213331046,0.00283876826085525,0.00496103272883137,0.00172422793372373
"19",0.00379326173998765,0.0119461153469647,0.0032409963105772,0.00244848816141927,0.00507289979558277,0.00144585491757542
"20",0.00400842754608975,0.0124976164543182,0.00343456111996018,0.00300609420758244,0.00787509609023123,0.00189130200994376
"21",0.00486957793228905,0.0120642438387072,0.00378316241660796,0.00518478379777735,0.00787509609023123,0.000945047125542578
"22",0.00530044578302683,0.0124582036842974,0.00397693249610553,0.00339666867293303,0.00798740543181076,0.00116758654376288
